s1_shift,s2_shift,S3_shift,m1_shift,m2_shift,m3_shift,s1_center,s2_center,s3_center,m1_center,m2_center,m3_center,steps
0.17012629,0.12677066,0.15514582,1.19470334,1,1.23795545,0.15596052,0.15147845,0.14453092,2.73111725,2.82663727,2.77087402,1
0.17012629,0.12677066,0.15514582,1.19470334,1,1.23795545,0.15481426,0.14467211,0.11397442,1.19314563,1,1,2
0.13502488,0.20187357,0.19285727,1,1.00034332,1.15470052,0.1584553,0.1820545,0.15043674,1,1.19314563,1.19470334,3
0.19694906,0.14872299,0.23462562,1,1.40099967,1.19470334,0.15962517,0.19787654,0.14056881,1,1.40099967,1.41421366,4
0.1648552,0.21922186,0.17438009,1.19314551,1.29200888,1.37792826,0.17648344,0.26011369,0.18399392,1.40099967,1.39221478,1.19314563,5
0.14170998,0.19073336,0.18725108,1.19470334,1.50812435,1.23795545,0.18393119,0.23569646,0.17224592,1.41421354,1.41421366,1.50552523,6
0.16815361,0.22540264,0.19009459,1,1.37094688,1.37762153,0.21279173,0.23719771,0.17559397,1.39996374,1.54532897,1.19470036,7
0.12370805,0.21943299,0.21506849,1.15470052,1.00000048,1.23795545,0.24228832,0.22280541,0.19734609,1.40768707,1.35227191,1.3044225,8
0.16429839,0.19261965,0.17758484,1.40809214,1.19470334,1.41421354,0.21786797,0.23332679,0.24884072,1.52173913,1.35822248,1.39234829,9
0.16799077,0.20292547,0.22227885,1.23795545,1.40099967,1.39447796,0.22416201,0.2340309,0.23013893,1.41421354,1.40099967,1.40099967,10
0.17547639,0.21819685,0.20856525,1.19470334,1.37094688,1.37022221,0.22977711,0.23321088,0.22212063,1.37094688,1.292009,1.40099967,11
0.20458041,0.21892715,0.2173198,1.292009,1.40099967,1.49314249,0.23067051,0.21594404,0.19975995,1.37131989,1.4003582,1.41421366,12
0.1899775,0.20093177,0.20406201,1.34621096,1.48498917,1.40099967,0.23769236,0.22151311,0.2367624,1.35206497,1.5352093,1.40768707,13
0.1727798,0.23180613,0.22294079,1.40099967,1.41421354,1.40732253,0.23263903,0.21442488,0.22814736,1.40638793,1.79649162,1.52230608,14
0.17553291,0.21933094,0.22414336,1.30418086,1.40099967,1.50812435,0.24665813,0.21785004,0.24173544,1.52284944,1.49436617,1.40099967,15
0.17501549,0.21016754,0.19350971,1.41421354,1.50915086,1.30442166,0.2263201,0.23477951,0.26073128,1.40153611,1.41421211,1.53540421,16
0.21494855,0.21309823,0.19436185,1.41419315,1.53065646,1.3044225,0.24943534,0.24289888,0.24668187,1.40099967,1.40099967,1.41421366,17
0.20332035,0.22671975,0.19798264,1.40099967,1.77028453,1.40678883,0.2319117,0.24396291,0.25600222,1.41421354,1.53543365,1.40099967,18
0.19924016,0.20342697,0.21793959,1.41415203,1.40153611,1.80401671,0.2251592,0.22378981,0.2520245,1.51185322,1.731493,1.72398841,19
0.20059095,0.20307364,0.19181116,1.41421366,1.40809214,1.76956272,0.22689848,0.23138936,0.24796912,1.54526722,1.89387476,1.53450382,20
0.18256663,0.19235888,0.17818049,1.5324949,1.40099967,1.54253161,0.23011737,0.21637517,0.2288086,1.73492718,1.40768707,1.68054521,21
0.16611949,0.19023305,0.16457617,1.292009,1.54532897,1.41421366,0.22261903,0.1879777,0.23946305,1.8841176,1.40099967,1.54432344,22
0.16774754,0.17939661,0.15282765,1.30442166,1.89123631,1.52208364,0.21235968,0.20092051,0.2131473,1.54526186,1.41419315,1.54525483,23
0.17254107,0.1729297,0.14300177,1.400859,1.51948452,1.49495709,0.21719626,0.19346924,0.19914101,1.54511738,1.41421366,1.53168058,24
0.17540258,0.16578268,0.135673,1.41421366,1.40768707,1.41419315,0.19822772,0.20300853,0.17359166,1.89077842,1.41421366,1.51959121,25
0.18531896,0.17228909,0.13879246,1.41421366,1.41421366,1.5223031,0.19318159,0.18435383,0.15638144,1.5081228,1.53249705,1.54532874,26
0.16200024,0.18109426,0.14567867,1.41421366,1.53914917,1.57090962,0.18008739,0.18709137,0.11841715,1.70667219,1.55363762,1.74618232,27
0.16582355,0.16487367,0.13305688,1.42016375,1.41421366,1.41090286,0.17884928,0.19573486,0.09840699,1.84436321,1.53543425,1.71378756,28
0.17962508,0.1602459,0.13120358,1.54532897,1.5407356,1.54532611,0.16025949,0.16958679,0.08375639,1.9131403,1.65407169,1.50603163,29
0.17667322,0.15654446,0.11829881,1.54511893,1.41415203,1.53388679,0.14382674,0.14557382,0.07384273,1.7555269,1.47065485,1.41421366,30
0.16380978,0.17121749,0.11180352,1.74677193,1.53167236,1.41421354,0.12400922,0.13267218,0.0632786,1.54532897,1.41421354,1.54384291,31
0.15116066,0.15699446,0.1130091,1.84204483,1.41420424,1.54526174,0.09603357,0.10854103,0.04718204,1.42016375,1.41421366,1.75556421,32
0.14746648,0.13976806,0.10277155,1.54444802,1.87750673,1.41421366,0.06351022,0.10103697,0.03470988,1.88795483,1.41421366,1.40768707,33
0.14588365,0.12034812,0.11296504,1.77324712,1.46348333,1.4076581,0.05499579,0.08353207,0.02638605,1.53490782,1.70135021,1.15470052,34
0.13625205,0.13587767,0.09946997,1.54373395,1.48659647,1.53299487,0.03514488,0.06338453,0.01304869,1.40099967,1.19470334,1,35
0.12730002,0.12221276,0.10473777,1.50812435,1.41421354,1.49574232,0.02652747,0.0547335,0.00895912,1,1.40768707,1,36
0.12677263,0.1220992,0.09065513,1.41421366,1.50812435,1.7575984,0.01267272,0.04791896,0.00912697,1.23795545,1.37094688,0.99943811,37
0.11610861,0.11397935,0.07309468,1.52300119,1.89824188,1.40099907,0.00985793,0.03865405,0.00543519,1.71556604,1.3044225,1,38
0.1100086,0.09978914,0.07636964,1.54532909,1.49501026,1.5081228,0.0095582,0.04007702,0.00432494,1,1.00000048,0.96592587,39
0.09399278,0.10048369,0.05845674,1.54528725,1.41421366,1.50791919,0.00843772,0.02971609,0.00366367,1.00000572,1.53065646,0.99999958,40
0.09106382,0.08365545,0.05153056,1.54527092,1.41419315,1.54532874,0.00647114,0.0243142,0.00323294,0.99999768,1.19470334,0.99999309,41
0.08144297,0.06506174,0.04281057,1.54532897,1.37094688,1.94208562,0.00776229,0.01816855,0.00300672,1,1.00001335,1,42
0.07166589,0.06291381,0.03526883,1.41421366,1.54532897,1.52296925,0.00647863,0.01760584,0.00310128,1.00000143,1.41421366,1,43
0.0730582,0.05940344,0.02841317,1.84709215,1.4003464,1.40099967,0.00714318,0.01882831,0.00395504,1.00000191,1.00000763,1.00000238,44
0.0606039,0.04687126,0.03150697,1.91559041,1.5448302,1.54532897,0.00766988,0.01436858,0.00391647,1,1,0.99999779,45
0.04414903,0.03776198,0.02453297,1.41421366,1.00000095,1.54372227,0.00654064,0.01101916,0.00442969,0.99943829,1.00000668,0.99999779,46
0.03677016,0.0418967,0.01516282,1.40768707,1.40099967,1.00000048,0.00929597,0.01246584,0.00457341,1.00000095,1.00000334,1,47
0.01915906,0.03776691,0.01209374,1,1.00000668,1.15470052,0.00957584,0.01074299,0.0050923,1.00000191,1.15470052,1.00000858,48
0.01661671,0.03214091,0.00717971,1.41421366,1.71556985,0.99997729,0.01010091,0.0122114,0.00601815,1,1.19470036,0.99999791,49
0.01534272,0.02334183,0.00517419,1.00000477,1.40099967,1,0.0091078,0.01226305,0.00648267,0.99999332,1.37237656,1,50
0.00896473,0.02487524,0.0050769,1.00000143,1.00001621,1.00000143,0.00941877,0.01067714,0.00808987,0.99999976,1.00000381,0.99999768,51
0.00831888,0.02322471,0.00610201,1.00000668,1.00000024,1.00000286,0.00906067,0.01416251,0.00840353,1.00000191,1,1,52
0.00643605,0.02447495,0.00466364,0.99995971,1.40099967,1,0.00939455,0.01362445,0.00808709,1,1,1.00000429,53
0.00689772,0.02214123,0.00594916,1.00001621,1,1,0.00913123,0.0148623,0.00892838,1.00000048,1,1.00001144,54
0.00698253,0.01736467,0.00630807,1,1.40099967,1.00000286,0.01128973,0.01617191,0.01001887,1.00000191,1.00000143,1.00000143,55
0.0087643,0.01577882,0.00567309,0.99999267,1.00000191,1.00000858,0.01168053,0.01532057,0.00771587,1.00000286,1.00000286,1,56
0.00949583,0.01546964,0.00701615,1.00000143,1.00000334,1,0.01083693,0.0168438,0.00911642,1.00000238,1.00000763,1.00001812,57
0.00865743,0.01509641,0.00640055,1.00000238,1.40678871,0.99999982,0.01253223,0.0186699,0.01049107,1.00000191,1.00000238,1.00000024,58
0.00989618,0.0150151,0.0102154,1.00000858,1.47065485,1.00000429,0.01387962,0.01926435,0.01176822,1.00000095,1.15470052,1,59
0.00989005,0.01524245,0.00755283,0.99943829,1.30399728,1,0.01434005,0.02043881,0.0126855,1.00002003,1.00001526,1,60
0.00865764,0.0149524,0.00904512,1,1.00000286,1.00000858,0.01332784,0.01898119,0.01501259,1.00000334,1.00000238,1,61
0.01028899,0.01521766,0.00981316,1.00000191,1.00000477,1,0.01369212,0.02152403,0.01385085,1.00000381,1,1.00000477,62
0.00951149,0.01595284,0.01190281,1,1.00000286,1.00000143,0.01329284,0.02203031,0.0168739,1.00000381,1.00000572,1.30399728,63
0.01078892,0.01737006,0.01090496,1.00000858,1.00000238,1.00000024,0.01377202,0.02445721,0.01454027,1.00000048,1.35227168,1,64
0.00925517,0.01683866,0.01102425,1.00000238,0.99999976,1.00000381,0.0148727,0.02444306,0.01617366,1.00000238,1.00000191,1.00000858,65
0.01229408,0.02057231,0.01506819,1.00001144,1.00000858,1.00001431,0.01432151,0.02435367,0.01362394,1.00000381,1.00001049,1.00000024,66
0.01176342,0.01932071,0.00987922,1.00000143,1.00000668,0.99999976,0.01484948,0.02358878,0.01459658,1,1.00000048,1.29183185,67
0.0139483,0.02086914,0.01109864,1.00000048,1,1.00000143,0.01575141,0.02247327,0.01540427,1.00000286,1.00000763,1.41421354,68
0.01480656,0.02038317,0.01218625,1.00000381,1.19470334,1.30418086,0.01811756,0.02439832,0.01694037,1.38927746,1.15470052,1.41421354,69
0.01726861,0.02174659,0.01179017,1.00000334,1.0000248,1,0.01475575,0.02354839,0.0157928,1.00000334,1.00000191,1.67303252,70
0.01236192,0.01952882,0.01258006,1.00000334,1.00000048,1.00000668,0.01429667,0.0247663,0.01871127,1.00000334,1.00000381,1.9915638,71
0.01156417,0.02070287,0.01509462,1.00000191,1.19470036,1.19470334,0.01470975,0.02723638,0.01970925,1.00000048,1.00000668,2.12132049,72
0.014275,0.0210733,0.01619389,1.00000763,1.19470036,1,0.01602583,0.02532008,0.02301715,1.00001049,1.00001526,1.99092436,73
0.01453901,0.0237229,0.01611793,1.00000858,1.00001049,1.0000124,0.01423225,0.02737973,0.0223119,1.00000048,1.00000429,1.54532874,74
0.01437407,0.02216837,0.01472124,1,1.00000334,1,0.01584522,0.02911855,0.02340765,1.00000477,1.00000048,1.89686191,75
0.01249754,0.0229084,0.01587304,1.00000572,1.19470334,1.41421354,0.01925723,0.02735342,0.02608133,1.00000095,1.00000763,1.89686203,76
0.01473997,0.02536399,0.01558824,1.00003242,1.00002098,1.41421354,0.01554954,0.02780681,0.02444188,1.00000191,1.00001526,1.99092448,77
0.01230358,0.02540245,0.01841463,1,1.15470052,1.67303252,0.01657491,0.02657191,0.02629852,1.00003624,1.00000334,1.9206773,78
0.0137965,0.02574933,0.01856121,1.00000143,1.00000858,1.9915638,0.01617097,0.02834942,0.02990406,1.00000763,1.00000286,3.73784471,79
0.01704758,0.02590017,0.0196022,1.00000858,1.00000238,2.12132049,0.01801921,0.02875964,0.0280879,1,1.00001144,2.38389802,80
0.01433503,0.02553482,0.02352346,1.00000143,1,1.99092436,0.01496006,0.03027561,0.02857863,1.00001431,1.40086114,2.12132049,81
0.01527726,0.02951541,0.02485573,1.00000668,1.00001526,1.54532874,0.01453809,0.03283136,0.0279385,1.00000477,1.15470052,1.86071074,82
0.01409309,0.02663719,0.02601939,1.00000763,1.00001049,1.86071074,0.0146012,0.03298004,0.03084914,1.00000048,1.00000048,1.89686203,83
0.01431841,0.02930176,0.02791397,1.00000143,1.00001526,1.89686203,0.01660462,0.03285633,0.03153985,1.00000048,1.8470974,2.1776104,84
0.01366812,0.0283018,0.02745082,1.00000191,1.00000477,1.99092448,0.0199769,0.03169971,0.03415131,1.37094688,1.41421354,2.44194984,85
0.01351212,0.0347563,0.02642136,1.00000572,1.00002861,3.63676858,0.02004263,0.031771,0.03426833,1.00000381,1.41421366,2,86
0.0141615,0.03391436,0.02771907,1.00003242,1.00002384,3.02135372,0.02178318,0.03012321,0.03181792,1.00002956,2.12132049,1.54532897,87
0.01534234,0.03098831,0.02458391,1.00000763,1.00001049,2.17761064,0.02045542,0.02967124,0.0295823,1.15470052,2.18383241,1.99092436,88
0.01572978,0.03390455,0.0282302,1.00000381,1.00001812,2.38389826,0.02051011,0.03131276,0.03047141,1.00000024,1.99915171,1.99464595,89
0.0164675,0.03473941,0.03152424,1.0000248,1.00000858,2.17761064,0.02148281,0.0321155,0.02889641,1.00002766,2.44223022,1.99995899,90
0.01758472,0.03464046,0.03041563,1.00000191,1.00001812,1.89686203,0.01942438,0.03242259,0.02875693,1.00002766,3.16853881,1.89686203,91
0.01769246,0.0324059,0.03066424,1.00001097,1.41421354,2.1776104,0.02370075,0.04855669,0.0316883,1.00000858,6.79451227,2.12132049,92
0.0173877,0.0320324,0.03484364,1.00000858,1.41421366,2.44194984,0.02579449,0.04307517,0.0275672,1.00001144,2.44223022,1.90066445,93
0.01812168,0.03398684,0.03381123,1.00000048,2.12132049,2,0.02574657,0.05250045,0.02615464,1.00000048,3.93396521,2,94
0.01749489,0.03428226,0.03196307,1.00000763,2.18383241,1.99464607,0.025335,0.06280527,0.02165015,1.54397631,4.07800961,1.54532897,95
0.01769519,0.03477851,0.03043827,1.00000048,1.99915171,1.95798147,0.02669834,0.09279821,0.02637424,1.4003129,7.66894341,1.53168046,96
0.01902337,0.03494285,0.03041675,1,1.54532897,1.99464595,0.02617087,0.06910989,0.02458493,1.00005531,3.04804301,1.00002003,97
0.01734804,0.03499761,0.03067024,1.00002003,1.99092424,1.99995899,0.02663139,0.21932761,0.0246874,1.41421354,9.34698582,1.00008202,98
0.02086801,0.03831118,0.02707875,1.00001431,2.68601298,2.12132049,0.02471614,0.08623368,0.02567281,1.41421366,4.44459677,1.00001049,99
0.02097739,0.04150169,0.03373136,1.00012779,2.94720364,2,0.02445216,0.06122297,0.02151613,2.32075548,3,1.00002861,100
